"word","in documents","total","in class (JobPostings)","in class (Tweets)"
"acquires_melanocortin_receptor",1.0,1.0,0.0,1.0
"acquires_polocard_poland",1.0,1.0,0.0,1.0
"acquisition_cet_et",1.0,1.0,0.0,1.0
"acquisition_http_bit",1.0,1.0,0.0,1.0
"acquisition_http_co",1.0,1.0,0.0,1.0
"acquisition_nutrimed_strengthen",1.0,1.0,0.0,1.0
"acquisition_yocrunch_advance",1.0,1.0,0.0,1.0
"acquistion_commodity_speculation",1.0,2.0,0.0,2.0
"act_ambassadors_environmental",1.0,1.0,0.0,1.0
"act_chief_sustainability",1.0,1.0,0.0,1.0
"act_track_trace",1.0,2.0,0.0,2.0
"acting_empowerment_women",1.0,1.0,0.0,1.0
"action_action_citi",1.0,25.0,0.0,25.0
"action_action_danonegroup",1.0,1.0,0.0,1.0
"action_action_merck",1.0,44.0,0.0,44.0
"action_action_nestle",1.0,22.0,0.0,22.0
"action_action_pfizer",1.0,1.0,0.0,1.0
"action_barclays_read",1.0,1.0,0.0,1.0
"action_barclayswealth_amp",1.0,1.0,0.0,1.0
"action_barclayswealth_barclays",1.0,4.0,0.0,4.0
"action_barclayswealth_barclaysjbs",1.0,1.0,0.0,1.0
"action_barclayswealth_behaviouralfinance",1.0,1.0,0.0,1.0
"action_barclayswealth_buy",1.0,1.0,0.0,1.0
"action_barclayswealth_check",1.0,2.0,0.0,2.0
"action_barclayswealth_emma",1.0,1.0,0.0,1.0
"action_barclayswealth_gen",1.0,1.0,0.0,1.0
"action_barclayswealth_gender",1.0,1.0,0.0,1.0
"action_barclayswealth_get",1.0,1.0,0.0,1.0
"action_barclayswealth_graduates",1.0,1.0,0.0,1.0
"action_barclayswealth_handle",1.0,1.0,0.0,1.0
"action_barclayswealth_invested",1.0,1.0,0.0,1.0
"action_barclayswealth_investment",1.0,1.0,0.0,1.0
"action_barclayswealth_know",1.0,1.0,0.0,1.0
"action_barclayswealth_longer",1.0,1.0,0.0,1.0
"action_barclayswealth_look",1.0,1.0,0.0,1.0
"action_barclayswealth_markets",1.0,1.0,0.0,1.0
"action_barclayswealth_progress",1.0,1.0,0.0,1.0
"action_barclayswealth_read",1.0,3.0,0.0,3.0
"action_barclayswealth_richard",1.0,1.0,0.0,1.0
"action_barclayswealth_rt",1.0,2.0,0.0,2.0
"action_barclayswealth_see",1.0,1.0,0.0,1.0
"action_barclayswealth_stage",1.0,1.0,0.0,1.0
"action_barclayswealth_subscribe",1.0,1.0,0.0,1.0
"action_barclayswealth_take",1.0,1.0,0.0,1.0
"action_barclayswealth_visit",1.0,2.0,0.0,2.0
"action_barclayswealth_watch",1.0,1.0,0.0,1.0
"action_barclayswealth_woman",1.0,1.0,0.0,1.0
"action_barclayswealth_workers",1.0,1.0,0.0,1.0
"action_child_labour",1.0,1.0,0.0,1.0
"action_citi_access",1.0,1.0,0.0,1.0
"action_citi_advice",1.0,2.0,0.0,2.0
"action_citi_announcing",1.0,1.0,0.0,1.0
"action_citi_app",1.0,2.0,0.0,2.0
"action_citi_avoid",1.0,1.0,0.0,1.0
"action_citi_balance",1.0,1.0,0.0,1.0
"action_citi_banks",1.0,1.0,0.0,1.0
"action_citi_big",1.0,2.0,0.0,2.0
"action_citi_biggest",1.0,1.0,0.0,1.0
"action_citi_bikes",1.0,2.0,0.0,2.0
"action_citi_build",1.0,1.0,0.0,1.0
"action_citi_choose",1.0,1.0,0.0,1.0
"action_citi_citi",1.0,9.0,0.0,9.0
"action_citi_cities",1.0,1.0,0.0,1.0
"action_citi_citivolunteer",1.0,1.0,0.0,1.0
"action_citi_citivolunteers",1.0,4.0,0.0,4.0
"action_citi_city",1.0,4.0,0.0,4.0
"action_citi_community",1.0,2.0,0.0,2.0
"action_citi_congratulations",1.0,1.0,0.0,1.0
"action_citi_didyouknow",1.0,4.0,0.0,4.0
"action_citi_earthday",1.0,1.0,0.0,1.0
"action_citi_education",1.0,1.0,0.0,1.0
"action_citi_favorite",1.0,2.0,0.0,2.0
"action_citi_forget",1.0,1.0,0.0,1.0
"action_citi_get",1.0,1.0,0.0,1.0
"action_citi_helping",1.0,1.0,0.0,1.0
"action_citi_impact",1.0,2.0,0.0,2.0
"action_citi_innovative",1.0,1.0,0.0,1.0
"action_citi_kicking",1.0,1.0,0.0,1.0
"action_citi_latest",1.0,3.0,0.0,3.0
"action_citi_linkedin",1.0,1.0,0.0,1.0
"action_citi_magic",1.0,1.0,0.0,1.0
"action_citi_meet",1.0,1.0,0.0,1.0
"action_citi_moments",1.0,2.0,0.0,2.0
"action_citi_music",1.0,1.0,0.0,1.0
"action_citi_network",1.0,1.0,0.0,1.0
"action_citi_office",1.0,1.0,0.0,1.0
"action_citi_person",1.0,1.0,0.0,1.0
"action_citi_popular",1.0,2.0,0.0,2.0
"action_citi_practices",1.0,1.0,0.0,1.0
"action_citi_principles",1.0,1.0,0.0,1.0
"action_citi_proud",1.0,2.0,0.0,2.0
"action_citi_question",1.0,2.0,0.0,2.0
"action_citi_read",1.0,1.0,0.0,1.0
"action_citi_reminder",1.0,1.0,0.0,1.0
"action_citi_rt",1.0,1.0,0.0,1.0
"action_citi_secrets",1.0,1.0,0.0,1.0
"action_citi_sing",1.0,1.0,0.0,1.0
"action_citi_soapoperas",1.0,2.0,0.0,2.0
"action_citi_socialmedia",1.0,1.0,0.0,1.0
"action_citi_space",1.0,2.0,0.0,2.0
"action_citi_startup",1.0,7.0,0.0,7.0
"action_citi_steps",1.0,1.0,0.0,1.0
"action_citi_sticking",1.0,2.0,0.0,2.0
"action_citi_strong",1.0,1.0,0.0,1.0
"action_citi_success",1.0,1.0,0.0,1.0
"action_citi_tech",1.0,1.0,0.0,1.0
"action_citi_ted",1.0,1.0,0.0,1.0
"action_citi_things",1.0,1.0,0.0,1.0
"action_citi_tip",1.0,1.0,0.0,1.0
"action_citi_tips",1.0,4.0,0.0,4.0
"action_citi_turning",1.0,2.0,0.0,2.0
"action_citi_tweaks",1.0,2.0,0.0,2.0
"action_citi_use",1.0,2.0,0.0,2.0
"action_citi_volunteering",1.0,1.0,0.0,1.0
"action_citi_watch",1.0,1.0,0.0,1.0
"action_citi_watching",1.0,2.0,0.0,2.0
"action_citi_ways",1.0,2.0,0.0,2.0
"action_citi_why",1.0,1.0,0.0,1.0
"action_citi_wish",1.0,4.0,0.0,4.0
"action_citi_workingmoms",1.0,1.0,0.0,1.0
"action_citi_young",1.0,1.0,0.0,1.0
"action_citigroupbrk_banks",1.0,1.0,0.0,1.0
"action_citigroupbrk_bill",1.0,1.0,0.0,1.0
"action_citigroupbrk_citi",1.0,1.0,0.0,1.0
"action_citigroupbrk_federal",1.0,1.0,0.0,1.0
"action_citigroupbrk_preferreds",1.0,1.0,0.0,1.0
"action_citigroupbrk_reasons",1.0,3.0,0.0,3.0
"action_citigroupbrk_seeking",1.0,1.0,0.0,1.0
"action_citigroupbrk_video",1.0,2.0,0.0,2.0
"action_danonegroup_bringing",1.0,1.0,0.0,1.0
"action_danonegroup_discover",1.0,3.0,0.0,3.0
"action_danonegroup_join",1.0,1.0,0.0,1.0
"action_danonegroup_know",1.0,1.0,0.0,1.0
"action_day_celebrate",1.0,1.0,0.0,1.0
"action_dialogue_danonegroup",1.0,1.0,0.0,1.0
"action_expanding_access",1.0,1.0,0.0,1.0
"action_helping_deliver",1.0,1.0,0.0,1.0
"action_http_co",1.0,1.0,0.0,1.0
"action_information_citi",1.0,2.0,0.0,2.0
"action_kevin_ali",1.0,1.0,0.0,1.0
"action_merck_asthma",1.0,1.0,0.0,1.0
"action_merck_bank",1.0,1.0,0.0,1.0
"action_merck_bigdata",1.0,1.0,0.0,1.0
"action_merck_boston",1.0,1.0,0.0,1.0
"action_merck_call",1.0,1.0,0.0,1.0
"action_merck_ceo",1.0,2.0,0.0,2.0
"action_merck_check",1.0,5.0,0.0,5.0
"action_merck_chefartsmith",1.0,1.0,0.0,1.0
"action_merck_cmo",1.0,2.0,0.0,2.0
"action_merck_collaborating",1.0,2.0,0.0,2.0
"action_merck_collective",1.0,1.0,0.0,1.0
"action_merck_commitment",1.0,1.0,0.0,1.0
"action_merck_communication",1.0,1.0,0.0,1.0
"action_merck_congrats",1.0,1.0,0.0,1.0
"action_merck_cooking",1.0,1.0,0.0,1.0
"action_merck_corporate",1.0,1.0,0.0,1.0
"action_merck_day",1.0,2.0,0.0,2.0
"action_merck_donâ",1.0,2.0,0.0,2.0
"action_merck_find",1.0,1.0,0.0,1.0
"action_merck_fleas",1.0,1.0,0.0,1.0
"action_merck_forget",1.0,1.0,0.0,1.0
"action_merck_foundation",1.0,1.0,0.0,1.0
"action_merck_gardening",1.0,1.0,0.0,1.0
"action_merck_governor",1.0,1.0,0.0,1.0
"action_merck_happy",1.0,3.0,0.0,3.0
"action_merck_happyday",1.0,2.0,0.0,2.0
"action_merck_health",1.0,1.0,0.0,1.0
"action_merck_healthy",1.0,4.0,0.0,4.0
"action_merck_heart",1.0,3.0,0.0,3.0
"action_merck_help",1.0,2.0,0.0,2.0
"action_merck_holidays",1.0,1.0,0.0,1.0
"action_merck_honored",1.0,2.0,0.0,2.0
"action_merck_hpv",1.0,2.0,0.0,2.0
"action_merck_http",1.0,1.0,0.0,1.0
"action_merck_impact",1.0,1.0,0.0,1.0
"action_merck_increase",1.0,1.0,0.0,1.0
"action_merck_india",1.0,1.0,0.0,1.0
"action_merck_industry",1.0,1.0,0.0,1.0
"action_merck_innovative",1.0,1.0,0.0,1.0
"action_merck_inspired",1.0,2.0,0.0,2.0
"action_merck_installment",1.0,1.0,0.0,1.0
"action_merck_interactive",1.0,2.0,0.0,2.0
"action_merck_interested",1.0,2.0,0.0,2.0
"action_merck_international",1.0,4.0,0.0,4.0
"action_merck_issued",1.0,1.0,0.0,1.0
"action_merck_itâ",1.0,2.0,0.0,2.0
"action_merck_join",1.0,1.0,0.0,1.0
"action_merck_joined",1.0,1.0,0.0,1.0
"action_merck_keep",1.0,2.0,0.0,2.0
"action_merck_ll",1.0,1.0,0.0,1.0
"action_merck_low",1.0,2.0,0.0,2.0
"action_merck_make",1.0,2.0,0.0,2.0
"action_merck_march",1.0,2.0,0.0,2.0
"action_merck_meet",1.0,1.0,0.0,1.0
"action_merck_memorialday",1.0,2.0,0.0,2.0
"action_merck_merck",1.0,16.0,0.0,16.0
"action_merck_merckengage",1.0,3.0,0.0,3.0
"action_merck_merckengageâ",1.0,1.0,0.0,1.0
"action_merck_merckformothers",1.0,4.0,0.0,4.0
"action_merck_merckâ",1.0,1.0,0.0,1.0
"action_merck_mins",1.0,1.0,0.0,1.0
"action_merck_miss",1.0,1.0,0.0,1.0
"action_merck_national",1.0,3.0,0.0,3.0
"action_merck_nationalwomenshealthweek",1.0,1.0,0.0,1.0
"action_merck_nearly",1.0,1.0,0.0,1.0
"action_merck_nyagrodha",1.0,2.0,0.0,2.0
"action_merck_panel",1.0,1.0,0.0,1.0
"action_merck_philanthropic",1.0,1.0,0.0,1.0
"action_merck_physical",1.0,1.0,0.0,1.0
"action_merck_practice",1.0,1.0,0.0,1.0
"action_merck_projectidesign",1.0,1.0,0.0,1.0
"action_merck_protect",1.0,3.0,0.0,3.0
"action_merck_proud",1.0,6.0,0.0,6.0
"action_merck_rtc",1.0,2.0,0.0,2.0
"action_merck_sachin",1.0,1.0,0.0,1.0
"action_merck_safe",1.0,1.0,0.0,1.0
"action_merck_scientists",1.0,1.0,0.0,1.0
"action_merck_see",1.0,5.0,0.0,5.0
"action_merck_september",1.0,1.0,0.0,1.0
"action_merck_strong",1.0,1.0,0.0,1.0
"action_merck_take",1.0,1.0,0.0,1.0
"action_merck_tbt",1.0,1.0,0.0,1.0
"action_merck_th",1.0,1.0,0.0,1.0
"action_merck_tomorrow",1.0,1.0,0.0,1.0
"action_merck_tomy",1.0,1.0,0.0,1.0
"action_merck_traveling",1.0,1.0,0.0,1.0
"action_merck_uncf",1.0,2.0,0.0,2.0
"action_merck_unga",1.0,1.0,0.0,1.0
"action_merck_wad",1.0,4.0,0.0,4.0
"action_merck_want",1.0,3.0,0.0,3.0
"action_merck_watch",1.0,2.0,0.0,2.0
"action_merck_week",1.0,2.0,0.0,2.0
"action_merck_work",1.0,1.0,0.0,1.0
"action_merck_world",1.0,2.0,0.0,2.0
"action_nestle_ae",1.0,1.0,0.0,1.0
"action_nestle_africourier",1.0,1.0,0.0,1.0
"action_nestle_agoodopinion",1.0,1.0,0.0,1.0
"action_nestle_aliden",1.0,1.0,0.0,1.0
"action_nestle_alyssa",1.0,1.0,0.0,1.0
"action_nestle_anamlarr",1.0,1.0,0.0,1.0
"action_nestle_armadillo",1.0,1.0,0.0,1.0
"action_nestle_aussiehomeschoo",1.0,1.0,0.0,1.0
"action_nestle_aussiemumsdiary",1.0,1.0,0.0,1.0
"action_nestle_australiaflash",1.0,2.0,0.0,2.0
"action_nestle_avieweiss",1.0,1.0,0.0,1.0
"action_nestle_babiesshare",1.0,1.0,0.0,1.0
"action_nestle_bali",1.0,1.0,0.0,1.0
"action_nestle_bargainmumsau",1.0,1.0,0.0,1.0
"action_nestle_beach",1.0,1.0,0.0,1.0
"action_nestle_beedeesel",1.0,1.0,0.0,1.0
"action_nestle_benny",1.0,1.0,0.0,1.0
"action_nestle_beslenebilirim",1.0,2.0,0.0,2.0
"action_nestle_bigenya",1.0,1.0,0.0,1.0
"action_nestle_billybyarugaba",1.0,1.0,0.0,1.0
"action_nestle_bionic",1.0,1.0,0.0,1.0
"action_nestle_bob",1.0,1.0,0.0,1.0
"action_nestle_bobbyelectric",1.0,1.0,0.0,1.0
"action_nestle_brisbargainmum",1.0,1.0,0.0,1.0
"action_nestle_camberleyautos",1.0,1.0,0.0,1.0
"action_nestle_capitalfm",1.0,1.0,0.0,1.0
"action_nestle_celebrating",1.0,1.0,0.0,1.0
"action_nestle_ceo",1.0,3.0,0.0,3.0
"action_nestle_ceoemail",1.0,1.0,0.0,1.0
"action_nestle_chairman",1.0,1.0,0.0,1.0
"action_nestle_changing",1.0,1.0,0.0,1.0
"action_nestle_check",1.0,1.0,0.0,1.0
"action_nestle_cheesenbickies",1.0,1.0,0.0,1.0
"action_nestle_chephealthed",1.0,1.0,0.0,1.0
"action_nestle_children",1.0,2.0,0.0,2.0
"action_nestle_cnnbrk",1.0,1.0,0.0,1.0
"action_nestle_commercialrebkr",1.0,1.0,0.0,1.0
"action_nestle_cookie",1.0,2.0,0.0,2.0
"action_nestle_cptcoops",1.0,1.0,0.0,1.0
"action_nestle_croakeyblog",1.0,1.0,0.0,1.0
"action_nestle_dandyujspa",1.0,1.0,0.0,1.0
"action_nestle_davidbentley",1.0,1.0,0.0,1.0
"action_nestle_debtidwell",1.0,1.0,0.0,1.0
"action_nestle_deevincreation",1.0,1.0,0.0,1.0
"action_nestle_delighted",1.0,1.0,0.0,1.0
"action_nestle_denisepiercy",1.0,1.0,0.0,1.0
"action_nestle_destresssydney",1.0,1.0,0.0,1.0
"action_nestle_doulakim",1.0,1.0,0.0,1.0
"action_nestle_eat",1.0,2.0,0.0,2.0
"action_nestle_edembac",1.0,1.0,0.0,1.0
"action_nestle_employerenfant",1.0,1.0,0.0,1.0
"action_nestle_enjoying",1.0,2.0,0.0,2.0
"action_nestle_europe",1.0,1.0,0.0,1.0
"action_nestle_favorite",1.0,1.0,0.0,1.0
"action_nestle_feelhealthynow",1.0,1.0,0.0,1.0
"action_nestle_find",1.0,3.0,0.0,3.0
"action_nestle_fiona",1.0,1.0,0.0,1.0
"action_nestle_follow",1.0,3.0,0.0,3.0
"action_nestle_food",1.0,1.0,0.0,1.0
"action_nestle_foodsafety",1.0,1.0,0.0,1.0
"action_nestle_fourth",1.0,1.0,0.0,1.0
"action_nestle_fox",1.0,1.0,0.0,1.0
"action_nestle_fronj",1.0,1.0,0.0,1.0
"action_nestle_funny",1.0,1.0,0.0,1.0
"action_nestle_glynnaaron",1.0,1.0,0.0,1.0
"action_nestle_great",1.0,2.0,0.0,2.0
"action_nestle_guggiedaly",1.0,1.0,0.0,1.0
"action_nestle_haescoach",1.0,1.0,0.0,1.0
"action_nestle_halloween",1.0,1.0,0.0,1.0
"action_nestle_health",1.0,3.0,0.0,3.0
"action_nestle_healthybytes",1.0,14.0,0.0,14.0
"action_nestle_hear",1.0,2.0,0.0,2.0
"action_nestle_hi",1.0,2.0,0.0,2.0
"action_nestle_icymi",1.0,2.0,0.0,2.0
"action_nestle_inewschina",1.0,1.0,0.0,1.0
"action_nestle_innovation",1.0,2.0,0.0,2.0
"action_nestle_int",1.0,1.0,0.0,1.0
"action_nestle_investor",1.0,1.0,0.0,1.0
"action_nestle_iran",1.0,1.0,0.0,1.0
"action_nestle_james",1.0,1.0,0.0,1.0
"action_nestle_jems",1.0,1.0,0.0,1.0
"action_nestle_jenjam",1.0,1.0,0.0,1.0
"action_nestle_jewelsparkle",1.0,1.0,0.0,1.0
"action_nestle_join",1.0,2.0,0.0,2.0
"action_nestle_julie",1.0,1.0,0.0,1.0
"action_nestle_kate",1.0,1.0,0.0,1.0
"action_nestle_katunews",1.0,1.0,0.0,1.0
"action_nestle_keep",1.0,2.0,0.0,2.0
"action_nestle_keith",1.0,1.0,0.0,1.0
"action_nestle_kepeyeonu",1.0,1.0,0.0,1.0
"action_nestle_kerryparnell",1.0,1.0,0.0,1.0
"action_nestle_keturahlbm",1.0,1.0,0.0,1.0
"action_nestle_kgspares",1.0,1.0,0.0,1.0
"action_nestle_kingofhealth",1.0,1.0,0.0,1.0
"action_nestle_know",1.0,1.0,0.0,1.0
"action_nestle_kpolyc",1.0,1.0,0.0,1.0
"action_nestle_kracktivist",1.0,1.0,0.0,1.0
"action_nestle_kum",1.0,1.0,0.0,1.0
"action_nestle_langrenxdh",1.0,1.0,0.0,1.0
"action_nestle_launched",1.0,1.0,0.0,1.0
"action_nestle_lexybrooks",1.0,1.0,0.0,1.0
"action_nestle_lindadecourcy",1.0,1.0,0.0,1.0
"action_nestle_listen",1.0,2.0,0.0,2.0
"action_nestle_live",1.0,4.0,0.0,4.0
"action_nestle_lonewolfghost",1.0,1.0,0.0,1.0
"action_nestle_look",1.0,1.0,0.0,1.0
"action_nestle_looking",1.0,1.0,0.0,1.0
"action_nestle_lovenotmoney",1.0,1.0,0.0,1.0
"action_nestle_luis",1.0,1.0,0.0,1.0
"action_nestle_lyraliza",1.0,1.0,0.0,1.0
"action_nestle_made",1.0,1.0,0.0,1.0
"action_nestle_mamacupcakes",1.0,1.0,0.0,1.0
"action_nestle_marciemum",1.0,1.0,0.0,1.0
"action_nestle_maur",1.0,1.0,0.0,1.0
"action_nestle_max",1.0,1.0,0.0,1.0
"action_nestle_meganfloro",1.0,1.0,0.0,1.0
"action_nestle_milkpowdermps",1.0,1.0,0.0,1.0
"action_nestle_milo",1.0,1.0,0.0,1.0
"action_nestle_min",1.0,1.0,0.0,1.0
"action_nestle_minutes",1.0,2.0,0.0,2.0
"action_nestle_momentswithus",1.0,2.0,0.0,2.0
"action_nestle_monday",1.0,1.0,0.0,1.0
"action_nestle_moveribfan",1.0,1.0,0.0,1.0
"action_nestle_mr",1.0,1.0,0.0,1.0
"action_nestle_mrbege",1.0,1.0,0.0,1.0
"action_nestle_ms",1.0,2.0,0.0,2.0
"action_nestle_msearch",1.0,1.0,0.0,1.0
"action_nestle_muffysbookclub",1.0,1.0,0.0,1.0
"action_nestle_nanoview",1.0,1.0,0.0,1.0
"action_nestle_naynaygirl",1.0,1.0,0.0,1.0
"action_nestle_nestle",1.0,2.0,0.0,2.0
"action_nestle_nestlé",1.0,6.0,0.0,6.0
"action_nestle_news",1.0,1.0,0.0,1.0
"action_nestle_newscoid",1.0,1.0,0.0,1.0
"action_nestle_newswhipnow",1.0,1.0,0.0,1.0
"action_nestle_ninja",1.0,1.0,0.0,1.0
"action_nestle_nins",1.0,3.0,0.0,3.0
"action_nestle_nutrient",1.0,1.0,0.0,1.0
"action_nestle_opening",1.0,1.0,0.0,1.0
"action_nestle_ozaypharma",1.0,1.0,0.0,1.0
"action_nestle_part",1.0,1.0,0.0,1.0
"action_nestle_pascalrossini",1.0,1.0,0.0,1.0
"action_nestle_patchworkcactus",1.0,1.0,0.0,1.0
"action_nestle_pbellsydney",1.0,1.0,0.0,1.0
"action_nestle_philknudson",1.0,1.0,0.0,1.0
"action_nestle_political",1.0,1.0,0.0,1.0
"action_nestle_pop",1.0,2.0,0.0,2.0
"action_nestle_proudly",1.0,1.0,0.0,1.0
"action_nestle_published",1.0,1.0,0.0,1.0
"action_nestle_qutequte",1.0,1.0,0.0,1.0
"action_nestle_read",1.0,4.0,0.0,4.0
"action_nestle_redror",1.0,1.0,0.0,1.0
"action_nestle_reneenaturally",1.0,1.0,0.0,1.0
"action_nestle_rmitnewsroom",1.0,1.0,0.0,1.0
"action_nestle_roberttuzzo",1.0,1.0,0.0,1.0
"action_nestle_rom",1.0,1.0,0.0,1.0
